"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.115826444E1,4.301841641E1,1.381936785E1,1.158851403E2,1.600644531E2,1.970000029E0,2.301999969E2,1.400669814E-1,3.790092468E0,3.000000000E0,2.300000000E1
9.216098731E1,4.301842540E1,1.381934852E1,1.163816874E2,1.605610352E2,1.610000014E0,2.683999939E2,1.414891174E-1,3.790092468E0,3.000000000E0,2.400000000E1
9.315504772E1,4.301842685E1,1.381933114E1,1.169066596E2,1.610860596E2,1.820000052E0,2.388000031E2,1.427792935E-1,3.790092468E0,3.000000000E0,2.400000000E1
9.415243069E1,4.301842537E1,1.381931540E1,1.181077143E2,1.622871704E2,1.500000000E0,2.500000000E2,1.441720355E-1,3.790092468E0,3.000000000E0,2.500000000E1
9.515782564E1,4.301842522E1,1.381929827E1,1.190504679E2,1.632299805E2,1.450000048E0,2.746000061E2,1.455390534E-1,3.790092468E0,3.000000000E0,2.500000000E1
9.615254309E1,4.301842238E1,1.381928191E1,1.190048122E2,1.631843872E2,1.399999976E0,2.730000000E2,1.471078544E-1,3.790092468E0,3.000000000E0,2.500000000E1
9.715318981E1,4.301841702E1,1.381926406E1,1.188562994E2,1.630359497E2,1.419999957E0,2.503999939E2,1.487034463E-1,3.790092468E0,3.000000000E0,2.500000000E1
9.815838986E1,4.301841408E1,1.381924485E1,1.196425433E2,1.638222656E2,1.480000019E0,2.476000061E2,1.501652823E-1,3.790092468E0,3.000000000E0,2.300000000E1
9.915246777E1,4.301841032E1,1.381922762E1,1.199984931E2,1.641782837E2,1.409999967E0,2.465000000E2,1.516488757E-1,3.790092468E0,3.000000000E0,2.300000000E1
1.001619378E2,4.301840185E1,1.381921352E1,1.196040112E2,1.637838745E2,1.419999957E0,2.473999939E2,1.527116523E-1,3.790092468E0,3.000000000E0,2.300000000E1
